Thời gian,Tiêu đề,URL,Nội dung
2022-11-23 09:33:00,Doanh nghiệp dồn dập trả cổ tức tiền mặt trong tháng cuối cùng của năm 2022,https://cafef.vn/du-lieu/dgc-361619/doanh-nghiep-don-dap-tra-co-tuc-tien-mat-trong-thang-cuoi-cung-cua-nam-2022.chn,
2022-11-21 16:39:00,DGC: Đính chính nội dung Nghị quyết HĐQT số 17 ngày 16/11/2022,https://cafef.vn/du-lieu/dgc-362420/dgc-dinh-chinh-noi-dung-nghi-quyet-hdqt-so-17-ngay-16112022.chn,
2022-11-21 16:37:00,DGC: Ngày ĐKCC để thực hiện quyền nhận tạm ứng cổ tức năm 2022 bằng tiền,https://cafef.vn/du-lieu/dgc-362426/dgc-ngay-dkcc-de-thuc-hien-quyen-nhan-tam-ung-co-tuc-nam-2022-bang-tien.chn,
2022-11-21 16:34:00,DGC: Ông Đào Hữu Huyền - CT.HĐQT đã mua 1.000.000 cp,https://cafef.vn/du-lieu/dgc-362441/dgc-ong-dao-huu-huyen-cthdqt-da-mua-1000000-cp.chn,
2022-11-17 00:10:00,"Chủ tịch Hóa chất Đức Giang (DGC) dự chi 57 tỷ đồng để ""cứu"" giá cổ phiếu, công ty ""bù"" lại bằng hơn 200 tỷ tiền cổ tức",https://cafef.vn/du-lieu/dgc-364061/chu-tich-hoa-chat-duc-giang-dgc-du-chi-57-ty-dong-de-cuu-gia-co-phieu-cong-ty-bu-lai-bang-hon-200-ty-tien-co-tuc.chn,
2022-11-16 17:55:00,DGC: Nghị quyết HĐQT thông qua hợp đồng hợp tác kinh doanh,https://cafef.vn/du-lieu/dgc-364184/dgc-nghi-quyet-hdqt-thong-qua-hop-dong-hop-tac-kinh-doanh.chn,
2022-11-16 17:51:00,DGC: Nghị quyết HĐQT thông qua trả cổ tức bằng tiền năm 2022,https://cafef.vn/du-lieu/dgc-364214/dgc-nghi-quyet-hdqt-thong-qua-tra-co-tuc-bang-tien-nam-2022.chn,
2022-11-16 17:50:00,DGC: Ngày ĐKCC để thực hiện quyền nhận cổ tức năm 2022 bằng tiền,https://cafef.vn/du-lieu/dgc-364232/dgc-ngay-dkcc-de-thuc-hien-quyen-nhan-co-tuc-nam-2022-bang-tien.chn,
2022-11-16 11:59:00,"Chủ tịch Hoá chất Đức Giang viết tâm thư cho cổ đông: Chưa bao giờ DGC sập sàn 5 phiên liên tiếp, điều bất thường này lại xảy ra ngay năm chỉ số kinh doanh cao nhất",https://cafef.vn/du-lieu/dgc-364535/chu-tich-hoa-chat-duc-giang-viet-tam-thu-cho-co-dong-chua-bao-gio-dgc-sap-san-5-phien-lien-tiep-dieu-bat-thuong-nay-lai-xay-ra-ngay-nam-chi-so-kinh-doanh-cao-nhat.chn,
2022-11-15 14:13:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài,https://cafef.vn/du-lieu/dgc-365036/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai.chn,
2022-11-14 15:42:00,"Cổ phiếu Hóa chất Đức Giang (DGC) rơi xuống đáy 14 tháng, Chủ tịch Đào Hữu Huyền muốn tăng sở hữu",https://cafef.vn/du-lieu/dgc-365645/co-phieu-hoa-chat-duc-giang-dgc-roi-xuong-day-14-thang-chu-tich-dao-huu-huyen-muon-tang-so-huu.chn,
2022-11-14 14:20:00,DGC: Ông Đào Hữu Huyền - CT.HĐQT đăng ký mua 1.000.000 cp,https://cafef.vn/du-lieu/dgc-365711/dgc-ong-dao-huu-huyen-cthdqt-dang-ky-mua-1000000-cp.chn,
2022-11-13 08:18:00,"Hóa chất Đức Giang (DGC) dự kiến giảm giá bán và sản lượng xuất khẩu phốt pho vàng do nhu cầu điện tử sụt giảm mạnh, dự án Nghi Sơn chậm tiến độ",https://cafef.vn/du-lieu/dgc-365987/hoa-chat-duc-giang-dgc-du-kien-giam-gia-ban-va-san-luong-xuat-khau-phot-pho-vang-do-nhu-cau-dien-tu-sut-giam-manh-du-an-nghi-son-cham-tien-do.chn,
2022-10-26 17:04:00,"DGC: 23.9.2025, giao dịch 8.537.213 cp niêm yết bổ sung",https://cafef.vn/du-lieu/dgc-374753/dgc-2392025-giao-dich-8537213-cp-niem-yet-bo-sung.chn,
2022-10-25 10:24:00,"DGC: 26.10.2022, niêm yết bổ sung 8.537.213 cp",https://cafef.vn/du-lieu/dgc-375854/dgc-26102022-niem-yet-bo-sung-8537213-cp.chn,
2022-10-24 14:09:00,DGC: Nghị quyết HĐQT thông qua KQSXKD quý 03/2022 và kế hoạch quý 04/2022,https://cafef.vn/du-lieu/dgc-376496/dgc-nghi-quyet-hdqt-thong-qua-kqsxkd-quy-032022-va-ke-hoach-quy-042022.chn,
2022-10-19 17:10:00,DGC: Giải trình chênh lệch LNST quý 3/2022 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/dgc-379154/dgc-giai-trinh-chenh-lech-lnst-quy-32022-so-voi-cung-ky-nam-truoc.chn,
